
ypr	-0.22	0.02	-0.08
ypr	-0.22	0.02	-0.08
ypr	-0.22	0.02	-0.08
ypr	-0.22	0.02	-0.08
ypr	-0.22	0.02	-0.08
ypr	-0.22	0.02	-0.08
ypr	-0.23	0.02	-0.08
ypr	-0.23	0.02	-0.08
ypr	-0.23	0.02	-0.08
ypr	-0.23	0.02	-0.08
ypr	-0.23	0.02	-0.08
ypr	-0.23	0.02	-0.08
ypr	-0.23	0.02	-0.08
ypr	-0.23	0.02	-0.08
ypr	-0.23	0.02	-0.08
ypr	-0.23	0.02	-0.08
ypr	-0.23	0.02	-0.08
ypr	-0.23	0.02	-0.08
ypr	-0.23	0.02	-0.08
ypr	-0.23	0.02	-0.07
ypr	-0.23	0.02	-0.07
ypr	-0.23	0.03	-0.07
ypr	-0.23	0.03	-0.07
ypr	-0.23	0.02	-0.07
ypr	-0.23	0.03	-0.07
ypr	-0.23	0.02	-0.07
ypr	-0.23	0.02	-0.07
ypr	-0.23	0.02	-0.07
ypr	-0.23	0.02	-0.07
ypr	-0.23	0.02	-0.07
ypr	-0.24	0.02	-0.07
ypr	-0.24	0.01	-0.07
ypr	-0.25	0.01	-0.07
ypr	-0.25	0.00	-0.07
ypr	-0.25	-0.03	-0.07
ypr	-0.25	-0.09	-0.07
ypr	-0.25	-0.15	-0.07
ypr	-0.25	-0.22	-0.08
ypr	-0.25	-0.29	-0.08
ypr	-0.25	-0.35	-0.08
ypr	-0.25	-0.42	-0.08
ypr	-0.24	-0.47	-0.08
ypr	-0.24	-0.54	-0.08
ypr	-0.24	-0.61	-0.08
ypr	-0.24	-0.67	-0.08
ypr	-0.24	-0.75	-0.08
ypr	-0.24	-0.84	-0.08
ypr	-0.24	-0.94	-0.09
ypr	-0.24	-1.04	-0.09
ypr	-0.24	-1.15	-0.09
ypr	-0.24	-1.26	-0.10
ypr	-0.24	-1.36	-0.10
ypr	-0.24	-1.46	-0.10
ypr	-0.24	-1.56	-0.10
ypr	-0.24	-1.66	-0.11
ypr	-0.25	-1.75	-0.11
ypr	-0.25	-1.84	-0.12
ypr	-0.25	-1.94	-0.12
ypr	-0.25	-2.03	-0.12
ypr	-0.26	-2.13	-0.12
ypr	-0.26	-2.22	-0.13
ypr	-0.26	-2.32	-0.13
ypr	-0.26	-2.43	-0.14
ypr	-0.26	-2.53	-0.14
ypr	-0.26	-2.64	-0.14
ypr	-0.26	-2.74	-0.15
ypr	-0.26	-2.85	-0.15
ypr	-0.26	-2.95	-0.16
ypr	-0.26	-3.05	-0.16
